ID da Empresa,Nome da Empresa,Responsável,Equipe Responsável,Created At,Atualizado em,CNPJ,Razão Social,Modelo de Mercado,Setor,Indústria,Segmento,Modelo de Negócio,Modelo de Receita,CNAE,Estágio de escala,Porte da Empresa,Número de Funcionários,Receita Anual,Endereço,Ano de Fundação,Telefone,URL do Site,Página do Linkedin da Empresa,Instagram,Número de CNPJs vinculados
00000001,Escala.Ai,Alexandre Bazzi,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Escala.ai Sistemas de Inteligencia de Negocios LTDA,B2B,Primário,Serviços Profissionais,Consultoria,,,,,Microempresa,9-4,10 milhões,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-000",2020,,https://www.escala.ai/,https://www.linkedin.com/in/bazzi/,https://www.instagram.com/ale.bazzii/,1
00000002,Supermercado União,Rafael Giacomini,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Supermercado União LTDA,B2C,Secundário,Automotiva,Veículos Elétricos,,,,,Média,8-12,"R$1.000.000,00","R. José Maria Lisboa, 420 - Jardim Paulista, São Paulo - SP, 01423-001",2010,,www.supermercadounião.com.br,https://www.linkedin.com/in/supermercado-união,https://www.instagram.com/supermercado-união,1
00000003,Grama Verde,Luiza Aduan,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,Grama Verde LTDA,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,,,,,Grande empresa,123,"R$35.000.000,00","R. José Maria Lisboa, 380 - Jardim Paulista, São Paulo - SP, 01423-002",1990,,www.gramaverde.com.br,https://www.linkedin.com/in/grama-verde,https://www.instagram.com/grama-verde,2
00000004,Quadro,Vinícius Freitas,Operações,09/04/2024,09/04/2024,59.795.788/0001-12,Quadro S/A,B2G,Secundário,Farmacêutica,Biotecnologia Médica,,,,,Empresa de Pequeno Porte,456,"$350.000.000,00","R. José Maria Lisboa, 580 - Jardim Paulista, São Paulo - SP, 01423-003",1980,,www.quadro.com.br,https://www.linkedin.com/in/quadro,https://www.instagram.com/quadro,4
00000005,Madeireira Vitória,Marcos André,Parcerias,09/04/2024,09/04/2024,59.795.788/0001-12,Madeireira Vitória LTDA,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,,,,,Microempresa,333,R$100 milhões,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-004",2011,,www.madeireiravitória.com.br,https://www.linkedin.com/in/madeireira-vitória,https://www.instagram.com/madeireira-vitória,1
00000006,Conforto Estofados,Felipe Vieira,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Conforto Estofados LTDA,B2B2C,Primário,A&B,Distribuição,,,,,Microempresa,101,"R$1.000.000,00","R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-005",2012,,www.confortoestofados.com.br,https://www.linkedin.com/in/conforto-estofados,https://www.instagram.com/conforto-estofados,2
00000007,LG Monitores,Alexandre Bazzi,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,LG Monitores S/A,B2C,Secundário,Química,Agroquímicos,,,,,Média,6-9,"R$35.000.000,00","R. José Maria Lisboa, 470 - Jardim Paulista, São Paulo - SP, 01423-006",2020,,www.lgmonitores.com.br,https://www.linkedin.com/in/lg-monitores,https://www.instagram.com/lg-monitores,1
00000008,DELL Computadores,Rafael Giacomini,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,DELL Computadores S/A,B2B,Terciário,Energia,Energias Renováveis,,,,,Microempresa,7-8,"$350.000.000,00","R. José Maria Lisboa, 486 - Jardim Paulista, São Paulo - SP, 01423-007",2010,,www.dellcomputadores.com.br,https://www.linkedin.com/in/dell-computadores,https://www.instagram.com/dell-computadores,1
00000009,Apple,Luiza Aduan,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Apple LTDA,B2G,Secundário,Construção,Construção Verde,,,,,Média,320,10 milhões,"R. José Maria Lisboa, 320 - Jardim Paulista, São Paulo - SP, 01423-008",1990,,www.apple.com.br,https://www.linkedin.com/in/apple,https://www.instagram.com/apple,2
00000010,Samsung,Vinícius Freitas,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Samsung LTDA,C2C,Primário,Aeronáutica,Aviação Comercial,,,,,Grande empresa,123,"R$1.000.000,00","R. José Maria Lisboa, 100 - Jardim Paulista, São Paulo - SP, 01423-009",1980,,www.samsung.com.br,https://www.linkedin.com/in/samsung,https://www.instagram.com/samsung,3
00000011,Aliance JJ,Marcos André,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,Aliance JJ LTDA,B2B2C,Secundário,Entretenimento e Mídia,Streaming de Vídeo,,,,,Microempresa,23,"R$35.000.000,00","R. José Maria Lisboa, 340 - Jardim Paulista, São Paulo - SP, 01423-010",2011,,www.aliancejj.com.br,https://www.linkedin.com/in/aliance-jj,https://www.instagram.com/aliance-jj,1
00000012,Bioritmo,Felipe Vieira,Operações,09/04/2024,09/04/2024,59.795.788/0001-12,Bioritmo LTDA,D2C,Terciário,Bens de Consumo,Eletrônicos de Consumo,,,,,Média,67,"$350.000.000,00","R. José Maria Lisboa, 460 - Jardim Paulista, São Paulo - SP, 01423-011",2012,,www.bioritmo.com.br,https://www.linkedin.com/in/bioritmo,https://www.instagram.com/bioritmo,1
00000013,Nike,Felipe Vieira,Parcerias,09/04/2024,09/04/2024,59.795.788/0001-12,Nike S/A,G2C,Secundário,Energia Elétrica,Energias Renováveis,,,,,Grande empresa,23,Sem informação,"R. José Maria Lisboa, 560 - Jardim Paulista, São Paulo - SP, 01423-012",2012,,www.nike.com.br,https://www.linkedin.com/in/nike,https://www.instagram.com/nike,1
00000014,Escala.Ai,Alexandre Bazzi,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Escala.ai Sistemas de Inteligencia de Negocios LTDA,B2B,Primário,Serviços Profissionais,Consultoria,,,,,Microempresa,8-8,11 milhões,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-001",2020,,https://www.escala.ai/,https://www.linkedin.com/in/bazzi/,https://www.instagram.com/ale.bazzii/,1
00000015,Supermercado União,Rafael Giacomini,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Supermercado União LTDA,B2C,Secundário,Automotiva,Veículos Elétricos,,,,,Média,8-4,"R$1.000.000,01","R. José Maria Lisboa, 420 - Jardim Paulista, São Paulo - SP, 01423-002",2010,,www.supermercadounião.com.br,https://www.linkedin.com/in/supermercado-união,https://www.instagram.com/supermercado-união,1
00000016,Grama Verde,Luiza Aduan,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,Grama Verde LTDA,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,,,,,Grande empresa,206,"R$35.000.000,01","R. José Maria Lisboa, 380 - Jardim Paulista, São Paulo - SP, 01423-003",1990,,www.gramaverde.com.br,https://www.linkedin.com/in/grama-verde,https://www.instagram.com/grama-verde,1
00000017,Quadro,Vinícius Freitas,Operações,09/04/2024,09/04/2024,59.795.788/0001-12,Quadro S/A,B2G,Secundário,Farmacêutica,Biotecnologia Médica,,,,,Empresa de Pequeno Porte,"187,1","$350.000.001,00","R. José Maria Lisboa, 580 - Jardim Paulista, São Paulo - SP, 01423-004",1980,,www.quadro.com.br,https://www.linkedin.com/in/quadro,https://www.instagram.com/quadro,1
00000018,Madeireira Vitória,Marcos André,Parcerias,09/04/2024,09/04/2024,59.795.788/0001-12,Madeireira Vitória LTDA,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,,,,,Microempresa,"168,2",R$100 milhões,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-006",2011,,www.madeireiravitória.com.br,https://www.linkedin.com/in/madeireira-vitória,https://www.instagram.com/madeireira-vitória,1
00000019,Conforto Estofados,Felipe Vieira,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Conforto Estofados LTDA,B2B2C,Primário,A&B,Distribuição,,,,,Microempresa,"149,3","R$1.000.000,01","R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-007",2012,,www.confortoestofados.com.br,https://www.linkedin.com/in/conforto-estofados,https://www.instagram.com/conforto-estofados,1
00000020,LG Monitores,Alexandre Bazzi,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,LG Monitores S/A,B2C,Secundário,Química,Agroquímicos,,,,,Média,8-7,"R$35.000.000,01","R. José Maria Lisboa, 470 - Jardim Paulista, São Paulo - SP, 01423-007",2020,,www.lgmonitores.com.br,https://www.linkedin.com/in/lg-monitores,https://www.instagram.com/lg-monitores,1
00000021,DELL Computadores,Rafael Giacomini,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,DELL Computadores S/A,B2B,Terciário,Energia,Energias Renováveis,,,,,Microempresa,8-6,"$350.000.001,00","R. José Maria Lisboa, 486 - Jardim Paulista, São Paulo - SP, 01423-008",2010,,www.dellcomputadores.com.br,https://www.linkedin.com/in/dell-computadores,https://www.instagram.com/dell-computadores,1
00000022,Apple,Luiza Aduan,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Apple LTDA,B2G,Secundário,Construção,Construção Verde,,,,,Média,"-83,8",11 milhões,"R. José Maria Lisboa, 320 - Jardim Paulista, São Paulo - SP, 01423-009",1990,,www.apple.com.br,https://www.linkedin.com/in/apple,https://www.instagram.com/apple,1
,Samsung,Vinícius Freitas,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Samsung LTDA,C2C,Primário,Aeronáutica,Aviação Comercial,,,,,Grande empresa,"-148,8","R$1.000.000,01","R. José Maria Lisboa, 100 - Jardim Paulista, São Paulo - SP, 01423-010",1980,,www.samsung.com.br,https://www.linkedin.com/in/samsung,https://www.instagram.com/samsung,1
,Aliance JJ,Marcos André,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,Aliance JJ LTDA,B2B2C,Secundário,Entretenimento e Mídia,Streaming de Vídeo,,,,,Microempresa,"-213,8","R$35.000.000,01","R. José Maria Lisboa, 340 - Jardim Paulista, São Paulo - SP, 01423-011",2011,,www.aliancejj.com.br,https://www.linkedin.com/in/aliance-jj,https://www.instagram.com/aliance-jj,1
,Bioritmo,Felipe Vieira,Operações,09/04/2024,09/04/2024,59.795.788/0001-12,Bioritmo LTDA,D2C,Terciário,Bens de Consumo,Eletrônicos de Consumo,,,,,Média,"-278,8","$350.000.001,00","R. José Maria Lisboa, 460 - Jardim Paulista, São Paulo - SP, 01423-012",2012,,www.bioritmo.com.br,https://www.linkedin.com/in/bioritmo,https://www.instagram.com/bioritmo,1
00000026,Nike,Felipe Vieira,Parcerias,09/04/2024,09/04/2024,59.795.788/0001-12,Nike S/A,G2C,Secundário,Energia Elétrica,Energias Renováveis,,,,,Grande empresa,"-343,8",Sem informação,"R. José Maria Lisboa, 560 - Jardim Paulista, São Paulo - SP, 01423-013",2012,,www.nike.com.br,https://www.linkedin.com/in/nike,https://www.instagram.com/nike,1
00000027,Escala.Ai,Alexandre Bazzi,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Escala.ai Sistemas de Inteligencia de Negocios LTDA,B2B,Primário,Serviços Profissionais,Consultoria,,,,,Microempresa,7-12,12 milhões,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-002",2020,,https://www.escala.ai/,https://www.linkedin.com/in/bazzi/,https://www.instagram.com/ale.bazzii/,1
,Supermercado União,Rafael Giacomini,Marketing,09/04/2024,09/04/2024,59.795.788/0001-12,Supermercado União LTDA,B2C,Secundário,Automotiva,Veículos Elétricos,,,,,Média,7-8,"R$1.000.000,02","R. José Maria Lisboa, 420 - Jardim Paulista, São Paulo - SP, 01423-003",2010,,www.supermercadounião.com.br,https://www.linkedin.com/in/supermercado-união,https://www.instagram.com/supermercado-união,1
,Grama Verde,Luiza Aduan,Pessoas,09/04/2024,09/04/2024,59.795.788/0001-12,Grama Verde LTDA,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,,,,,Grande empresa,"130,4","R$35.000.000,02","R. José Maria Lisboa, 380 - Jardim Paulista, São Paulo - SP, 01423-004",1990,,www.gramaverde.com.br,https://www.linkedin.com/in/grama-verde,https://www.instagram.com/grama-verde,1
,Quadro,Vinícius Freitas,Operações,09/04/2024,09/04/2024,59.795.788/0001-12,Quadro S/A,B2G,Secundário,Farmacêutica,Biotecnologia Médica,,,,,Empresa de Pequeno Porte,"111,5","$350.000.002,00","R. José Maria Lisboa, 580 - Jardim Paulista, São Paulo - SP, 01423-005",1980,,www.quadro.com.br,https://www.linkedin.com/in/quadro,https://www.instagram.com/quadro,1
,Madeireira Vitória,Marcos André,Parcerias,09/04/2024,09/04/2024,59.795.788/0001-12,Madeireira Vitória LTDA,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,,,,,Microempresa,"92,6",R$100 milhões,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-008",2011,,www.madeireiravitória.com.br,https://www.linkedin.com/in/madeireira-vitória,https://www.instagram.com/madeireira-vitória,1
,Conforto Estofados,Felipe Vieira,Vendas,09/04/2024,09/04/2024,59.795.788/0001-12,Conforto Estofados LTDA,B2B2C,Primário,A&B,Distribuição,,,,,Microempresa,"73,7","R$1.000.000,02","R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-009",2012,,www.confortoestofados.com.br,https://www.linkedin.com/in/conforto-estofados,https://www.instagram.com/conforto-estofados,1