ID da Empresa,Nome da Empresa,CNPJ,Modelo de Mercado (lista),Setor (lista),Indústria,Segmento,Modelo de Negócio (lista),Porte da Empresa (lista),Número de Funcionários (lista),Faturamento Anual (lista),Data de Inicio do Contrato,Data fim do contrato,Status do cliente (lista),Valor Anual do Contrato,Valor Total do Contrato,Receita Anual Recorrente,Receita Recorrente Mensal
00000001,Escala.Ai,59.795.788/0001-12,B2B,Primário,Serviços Profissionais,Consultoria,Serviços Profissionais,Micro,1-5,Até R$360.000,4/3/2023,12/31/2024,Ativo,260000,260000,260000,21667
00000002,Supermercado União,59.795.788/0001-12,B2C,Secundário,Automotiva,Veículos Elétricos,SAAS,Pequena,6-10,R$360.000 - R$4.800.000,4/4/2023,1/1/2025,Ativo,150000,150000,150000,12500
00000003,Grama Verde,59.795.788/0001-12,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,SAAS,Média,11-100,R$4.800.000 - R$300.000.000,4/5/2023,1/2/2025,Ativo,300000,300000,300000,25000
00000004,Quadro,59.795.788/0001-12,B2G,Secundário,Farmacêutica,Biotecnologia Médica,Marketplace,Grande ,101-500,R$300.000.000 - R$1.000.000.000,4/6/2023,1/3/2025,Ativo,450000,450000,450000,37500
00000005,Madeireira Vitória,59.795.788/0001-12,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,E-commerce,Grande,501-1000,R$1.000.000.000 - R$5.000.000.000,4/7/2023,1/4/2025,Ativo,300000,300000,300000,25000
00000006,Conforto Estofados,59.795.788/0001-12,B2B2C,Primário,Têxtil,Moda Sustentável,Varejo Físico,Média,1001-5000,R$5.000.000.000 - R$10.000.000.000,4/8/2023,1/5/2025,Ativo,260000,260000,260000,21667
00000007,LG Monitores,59.795.788/0001-12,B2C,Secundário,Química,Agroquímicos,Indústria,Micro,1-5,R$10.000.000.000 +,4/9/2023,4/10/2024,Inativo,150000,150000,150000,12500
00000008,DELL Computadores,59.795.788/0001-12,B2B,Terciário,Energia,Energias Renováveis,Info-Produto,Pequena,6-10,Até R$360.000,4/10/2023,12/31/2023,Churn,300000,300000,300000,25000
00000009,Apple,59.795.788/0001-12,B2G,Secundário,Construção,Construção Verde,Assinatura,Média,11-100,R$360.000 - R$4.800.000,4/11/2023,2/1/2024,Churn,260000,260000,260000,21667
00000010,Samsung,59.795.788/0001-12,C2C,Primário,Aeronáutica,Aviação Comercial,Fremium,Grande ,101-500,R$4.800.000 - R$300.000.000,4/12/2023,2/15/2024,Churn,150000,150000,150000,12500
00000011,Aliance JJ,59.795.788/0001-12,B2B2C,Secundário,Entretenimento e Mídia,Streaming de Vídeo,Licenciamento,Média,501-1000,R$300.000.000 - R$1.000.000.000,4/13/2023,4/10/2024,Ativo,300000,300000,300000,25000
00000012,Bioritmo,59.795.788/0001-12,D2C,Terciário,Bens de Consumo,Eletrônicos de Consumo,Franquia,Média,1001-5000,R$1.000.000.000 - R$5.000.000.000,4/14/2023,4/10/2024,Inativo,450000,450000,450000,37500
00000013,Nike,59.795.788/0001-12,G2C,Secundário,Biologia e Biotecnologia,Genética Personalizada,Serviços Profissionais,Grande,5000+,R$5.000.000.000 - R$10.000.000.000,4/15/2023,10/31/2024,Ativo,300000,300000,300000,25000