ID da Empresa,Categoria de Stakeholder (lista),Nome da Empresa,Proprietário da Empresa,Equipe Proprietária da Empresa,Data da Criação,Data da Última Atualização,Ano de Fundação,CNPJ,Razão Social,Endereço,Telefone,Site,LinkedIn,Instagram,Modelo de Mercado (lista),Setor (lista),Indústria,Segmento,Modelo de Negócio (lista),Modelo de Receita (lista),CNAE,Estágio de escala (lista),Porte da Empresa (lista),Número de Funcionários (lista),Faturamento Anual (lista),Número de CNPJs vinculados
00000001,Cliente,Escala.Ai,Alexandre Bazzi,Vendas,09/04/2024,09/04/2024,2020,59.795.788/0001-12,Escala.ai Sistemas de Inteligencia de Negocios LTDA,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-000",+55 (11) 5044-2859,https://www.escala.ai/,https://www.linkedin.com/in/bazzi/,https://www.instagram.com/ale.bazzii/,B2B,Primário,Serviços Profissionais,Consultoria,Serviços Profissionais,Receita Recorrente,63.19-4-00,Idéia,Micro,1-5,Até R$360.000,1
00000002,Cliente,Supermercado União,Rafael Giacomini,Marketing,09/04/2024,09/04/2024,2022,59.795.788/0001-12,Supermercado União LTDA,"R. José Maria Lisboa, 420 - Jardim Paulista, São Paulo - SP, 01423-001",+55 (11) 5044-2859,www.supermercadounião.com.br,https://www.linkedin.com/in/supermercado-união,https://www.instagram.com/supermercado-união,B2C,Secundário,Automotiva,Veículos Elétricos,SAAS,Assinatura,63.19-4-01,Start-up,Pequena,6-10,R$360.000 - R$4.800.000,1
00000003,Colaborador,Grama Verde,Luiza Aduan,Pessoas,09/04/2024,09/04/2024,2024,59.795.788/0001-12,Grama Verde LTDA,"R. José Maria Lisboa, 380 - Jardim Paulista, São Paulo - SP, 01423-002",+55 (11) 5044-2859,www.gramaverde.com.br,https://www.linkedin.com/in/grama-verde,https://www.instagram.com/grama-verde,B2B,Terciário,Tecnologia e Eletrônicos,Semicondutores,SAAS,Venda Única,63.19-4-02,Scale-up,Média,11-100,R$4.800.000 - R$300.000.000,2
00000004,Fornecedor,Quadro,Vinícius Freitas,Operações,09/04/2024,09/04/2024,2024,59.795.788/0001-12,Quadro S/A,"R. José Maria Lisboa, 580 - Jardim Paulista, São Paulo - SP, 01423-003",+55 (11) 5044-2859,www.quadro.com.br,https://www.linkedin.com/in/quadro,https://www.instagram.com/quadro,B2G,Secundário,Farmacêutica,Biotecnologia Médica,Marketplace,Comissão,63.19-4-03,Growing-up,Grande ,101-500,R$300.000.000 - R$1.000.000.000,4
00000005,Parceiro,Madeireira Vitória,Marcos André,Parcerias,09/04/2024,09/04/2024,2024,59.795.788/0001-12,Madeireira Vitória LTDA,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-004",+55 (11) 5044-2859,www.madeireiravitória.com.br,https://www.linkedin.com/in/madeireira-vitória,https://www.instagram.com/madeireira-vitória,C2C,Terciário,Alimentos e Bebidas,Orgânicos e Naturais,E-commerce,Taxa de Sucesso,63.19-4-04,Small Enterprise,Grande,501-1000,R$1.000.000.000 - R$5.000.000.000,1
00000006,Acionista,Conforto Estofados,Felipe Vieira,Vendas,09/04/2024,09/04/2024,2024,59.795.788/0001-12,Conforto Estofados LTDA,"R. José Maria Lisboa, 480 - Jardim Paulista, São Paulo - SP, 01423-005",+55 (11) 5044-2859,www.confortoestofados.com.br,https://www.linkedin.com/in/conforto-estofados,https://www.instagram.com/conforto-estofados,B2B2C,Primário,Têxtil,Moda Sustentável,Varejo Físico,Licenciamento,63.19-4-05,Middle Enterprise,Média,1001-5000,R$5.000.000.000 - R$10.000.000.000,2
00000007,Outros,LG Monitores,Alexandre Bazzi,Marketing,09/04/2024,09/04/2024,2024,59.795.788/0001-12,LG Monitores S/A,"R. José Maria Lisboa, 470 - Jardim Paulista, São Paulo - SP, 01423-006",+55 (11) 5044-2859,www.lgmonitores.com.br,https://www.linkedin.com/in/lg-monitores,https://www.instagram.com/lg-monitores,B2C,Secundário,Química,Agroquímicos,Indústria,Royalts,63.19-4-06,Large Enterprise,Micro,1-5,R$10.000.000.000 +,1
00000008,Cliente,DELL Computadores,Rafael Giacomini,Pessoas,09/04/2024,09/04/2024,2021,59.795.788/0001-12,DELL Computadores S/A,"R. José Maria Lisboa, 486 - Jardim Paulista, São Paulo - SP, 01423-007",+55 (11) 5044-2859,www.dellcomputadores.com.br,https://www.linkedin.com/in/dell-computadores,https://www.instagram.com/dell-computadores,B2B,Terciário,Energia,Energias Renováveis,Info-Produto,Hora,63.19-4-07,Idéia,Pequena,6-10,Até R$360.000,1
00000009,Colaborador,Apple,Luiza Aduan,Vendas,09/04/2024,09/04/2024,2018,59.795.788/0001-12,Apple LTDA,"R. José Maria Lisboa, 320 - Jardim Paulista, São Paulo - SP, 01423-008",+55 (11) 5044-2859,www.apple.com.br,https://www.linkedin.com/in/apple,https://www.instagram.com/apple,B2G,Secundário,Construção,Construção Verde,Assinatura,Aluguel,63.19-4-08,Start-up,Média,11-100,R$360.000 - R$4.800.000,2
00000010,Fornecedor,Samsung,Vinícius Freitas,Marketing,09/04/2024,09/04/2024,2016,59.795.788/0001-12,Samsung LTDA,"R. José Maria Lisboa, 100 - Jardim Paulista, São Paulo - SP, 01423-009",+55 (11) 5044-2859,www.samsung.com.br,https://www.linkedin.com/in/samsung,https://www.instagram.com/samsung,C2C,Primário,Aeronáutica,Aviação Comercial,Fremium,Publicidade,63.19-4-09,Scale-up,Grande ,101-500,R$4.800.000 - R$300.000.000,3
00000011,Parceiro,Aliance JJ,Marcos André,Pessoas,09/04/2024,09/04/2024,2011,59.795.788/0001-12,Aliance JJ LTDA,"R. José Maria Lisboa, 340 - Jardim Paulista, São Paulo - SP, 01423-010",+55 (11) 5044-2859,www.aliancejj.com.br,https://www.linkedin.com/in/aliance-jj,https://www.instagram.com/aliance-jj,B2B2C,Secundário,Entretenimento e Mídia,Streaming de Vídeo,Licenciamento,Patrocínio,63.19-4-10,Growing-up,Média,501-1000,R$300.000.000 - R$1.000.000.000,1
00000012,Acionista,Bioritmo,Felipe Vieira,Operações,09/04/2024,09/04/2024,2024,59.795.788/0001-12,Bioritmo LTDA,"R. José Maria Lisboa, 460 - Jardim Paulista, São Paulo - SP, 01423-011",+55 (11) 5044-2859,www.bioritmo.com.br,https://www.linkedin.com/in/bioritmo,https://www.instagram.com/bioritmo,D2C,Terciário,Bens de Consumo,Eletrônicos de Consumo,Franquia,Doação,63.19-4-11,Small Enterprise,Média,1001-5000,R$1.000.000.000 - R$5.000.000.000,1
00000013,Outros,Nike,Felipe Vieira,Parcerias,09/04/2024,09/04/2024,2023,59.795.788/0001-12,Nike S/A,"R. José Maria Lisboa, 560 - Jardim Paulista, São Paulo - SP, 01423-012",+55 (11) 5044-2859,www.nike.com.br,https://www.linkedin.com/in/nike,https://www.instagram.com/nike,G2C,Secundário,Biologia e Biotecnologia,Genética Personalizada,Serviços Profissionais,Doação,63.19-4-12,Middle Enterprise,Grande,5000+,R$5.000.000.000 - R$10.000.000.000,1