ID,Nome da Empresa,Segmento,Data de Cadastro,Número de Funcionários,Faturamento Anual,Valor Total do Contrato,MRR
0001,Padaria Pão Dourado LTDA,Alimentos e Bebidas,03/08/2021,11-100,Até R$360.000,212143,17678
0002,Construtora Solidez ME,Construção Civil,10/02/2021,101-500,Até R$360.000,13656,1138
0003,Cantina Delícia SA,Alimentos e Bebidas,27/12/2022,101-500,Até R$360.000,494467,41205
0004,Faculdade Horizonte ME,Educação,17/11/2022,101-500,R$360.000 - R$4.800.000,438228,36519
0005,Finança Ágil ME,Financeiro,28/02/2021,101-500,Até R$360.000,79126,6593
0006,Mercado Bom Gosto EIRELI,Alimentos e Bebidas,02/05/2020,101-500,R$360.000 - R$4.800.000,456425,38035
0007,Confecções Vestir Bem LTDA,Moda e Vestuário,19/06/2024,101-500,Até R$360.000,475608,39634
0008,LogisService EIRELI,Logística e Transporte,30/05/2024,101-500,R$360.000 - R$4.800.000,268977,22414
0009,Confecções Vestir Bem SA,Moda e Vestuário,27/02/2023,101-500,Até R$360.000,489439,40786
0010,Cargas & Fretes Seguros SA,Logística e Transporte,15/08/2020,101-500,Até R$360.000,243014,20251
0011,Banco Valor Seguro SA,Financeiro,29/10/2020,101-500,Até R$360.000,78832,6569
0012,InfoCloud EIRELI,Tecnologia,15/12/2021,101-500,R$360.000 - R$4.800.000,337200,28100
0013,Transportadora Rápido Expresso EIRELI,Logística e Transporte,02/01/2025,101-500,Até R$360.000,366964,30580
0014,Colégio Evoluir SA,Educação,29/09/2023,6-10,Até R$360.000,107708,8975
0015,Cantina Delícia SA,Alimentos e Bebidas,12/02/2022,101-500,Até R$360.000,74216,6184
0016,Instituto Conhecer LTDA,Educação,31/12/2021,101-500,R$360.000 - R$4.800.000,385098,32091
0017,Hotelaria Conforto Total SA,Turismo,19/10/2020,101-500,R$360.000 - R$4.800.000,395993,32999
0018,Finança Ágil SA,Financeiro,16/11/2023,11-100,Até R$360.000,416680,34723
0019,Revenda AutoTop LTDA,Automotivo,23/12/2022,11-100,Até R$360.000,314371,26197
0020,Confecções Vestir Bem LTDA,Moda e Vestuário,07/03/2024,101-500,R$360.000 - R$4.800.000,365423,30451
0021,Banco Valor Seguro SA,Financeiro,10/07/2024,101-500,Até R$360.000,153091,12757
0022,Obra Certa Construções LTDA,Construção Civil,10/10/2021,1-5,Até R$360.000,440117,36676
0023,Construtora Solidez ME,Construção Civil,29/04/2022,101-500,R$360.000 - R$4.800.000,186753,15562
0024,Revenda AutoTop EIRELI,Automotivo,07/12/2023,101-500,Até R$360.000,262313,21859
0025,Mercado Bom Gosto LTDA,Alimentos e Bebidas,16/10/2024,101-500,R$360.000 - R$4.800.000,337391,28115
0026,Clínica Vida Plena ME,Saúde,10/11/2020,101-500,Até R$360.000,41057,3421
0027,Mercado Bom Gosto LTDA,Alimentos e Bebidas,18/03/2021,101-500,Até R$360.000,380250,31687
0028,Cantina Delícia SA,Alimentos e Bebidas,27/06/2020,101-500,Até R$360.000,104120,8676
0029,Bistrô Sabores da Casa ME,Alimentos e Bebidas,10/05/2024,101-500,Até R$360.000,499784,41648
0030,Distribuidora Caminho Certo ME,Logística e Transporte,27/01/2024,101-500,R$360.000 - R$4.800.000,185994,15499
0031,Clínica Vida Plena EIRELI,Saúde,02/02/2021,101-500,R$360.000 - R$4.800.000,319163,26597
0032,Edifica Fácil EIRELI,Construção Civil,19/02/2021,101-500,Até R$360.000,152987,12748
0033,Casa Forte Engenharia ME,Construção Civil,17/10/2021,101-500,Até R$360.000,450266,37522
0034,Viagens Mundo Afora LTDA,Turismo,13/09/2022,101-500,Até R$360.000,287115,23926
0035,Agência Destinos ME,Turismo,17/09/2022,11-100,Até R$360.000,398828,33235
0036,Logística Ponto a Ponto ME,Logística e Transporte,03/01/2023,101-500,Até R$360.000,495114,41259
0037,Distribuidora Caminho Certo LTDA,Logística e Transporte,25/07/2023,101-500,R$360.000 - R$4.800.000,242041,20170
0038,Escola Saber Mais ME,Educação,03/04/2021,101-500,R$360.000 - R$4.800.000,136573,11381
0039,Casa Forte Engenharia SA,Construção Civil,29/10/2021,101-500,Até R$360.000,69323,5776
0040,Base Segura Ltda ME,Construção Civil,09/12/2023,101-500,Até R$360.000,494477,41206
0041,Viagens Mundo Afora SA,Turismo,17/08/2021,101-500,Até R$360.000,311851,25987
0042,Finança Ágil LTDA,Financeiro,28/01/2025,101-500,Até R$360.000,79873,6656
0043,Instituto Conhecer LTDA,Educação,02/06/2025,101-500,Até R$360.000,457061,38088
0044,Base Segura Ltda LTDA,Construção Civil,13/06/2023,11-100,Até R$360.000,117290,9774
0045,Hotelaria Conforto Total SA,Turismo,15/12/2021,101-500,R$360.000 - R$4.800.000,248068,20672
0046,Hotelaria Conforto Total LTDA,Turismo,06/09/2021,101-500,R$360.000 - R$4.800.000,265202,22100
0047,AutoMecânica Rápida EIRELI,Automotivo,21/02/2023,101-500,R$360.000 - R$4.800.000,410287,34190
0048,Laboratório Precisão EIRELI,Saúde,10/08/2022,101-500,Até R$360.000,202243,16853
0049,Carros & Cia ME,Automotivo,03/02/2022,11-100,R$360.000 - R$4.800.000,494910,41242
0050,Confecções Vestir Bem SA,Moda e Vestuário,06/03/2023,101-500,Até R$360.000,499726,41643
0051,Ateliê Elegância LTDA,Moda e Vestuário,18/05/2020,11-100,Até R$360.000,334126,27843
0052,InvestFácil LTDA,Financeiro,20/01/2021,11-100,Até R$360.000,153654,12804
0053,Colégio Evoluir EIRELI,Educação,05/08/2022,101-500,Até R$360.000,24764,2063
0054,Finança Ágil EIRELI,Financeiro,27/07/2021,101-500,Até R$360.000,426689,35557
0055,Instituto Conhecer ME,Educação,11/02/2025,101-500,Até R$360.000,239152,19929
0056,Agência Destinos EIRELI,Turismo,02/09/2020,101-500,Até R$360.000,401002,33416
0057,Fashion Prime LTDA,Moda e Vestuário,09/06/2022,101-500,Até R$360.000,216864,18072
0058,CyberNet Systems SA,Tecnologia,29/10/2022,11-100,R$360.000 - R$4.800.000,81397,6783
0059,Escola Saber Mais ME,Educação,10/07/2022,11-100,Até R$360.000,456870,38072
0060,InvestFácil SA,Financeiro,15/08/2021,101-500,Até R$360.000,168907,14075
0061,Escola Saber Mais ME,Educação,18/06/2024,101-500,Até R$360.000,63259,5271
0062,Oficina Motor Forte EIRELI,Automotivo,21/12/2022,101-500,R$360.000 - R$4.800.000,13607,1133
0063,Moda Urbana LTDA,Moda e Vestuário,07/11/2020,11-100,Até R$360.000,233068,19422
0064,Moda Urbana SA,Moda e Vestuário,20/03/2024,101-500,Até R$360.000,63462,5288
0065,Moda Urbana ME,Moda e Vestuário,17/05/2024,101-500,Até R$360.000,73609,6134
0066,Mercado Bom Gosto SA,Alimentos e Bebidas,11/05/2021,101-500,Até R$360.000,371816,30984
0067,DataLink TI ME,Tecnologia,03/12/2024,101-500,Até R$360.000,447509,37292
0068,Cargas & Fretes Seguros EIRELI,Logística e Transporte,18/07/2021,101-500,R$360.000 - R$4.800.000,36097,3008
0069,Transportadora Rápido Expresso LTDA,Logística e Transporte,05/12/2023,101-500,Até R$360.000,141226,11768
0070,Turismo Fácil EIRELI,Turismo,01/04/2020,101-500,R$360.000 - R$4.800.000,203316,16943
0071,Confecções Vestir Bem SA,Moda e Vestuário,22/07/2021,101-500,R$360.000 - R$4.800.000,75600,6300
0072,Construtora Solidez ME,Construção Civil,26/02/2021,101-500,R$360.000 - R$4.800.000,389864,32488
0073,LogisService LTDA,Logística e Transporte,13/08/2024,11-100,Até R$360.000,452438,37703
0074,Centro Médico Bem-Estar LTDA,Saúde,22/01/2023,101-500,Até R$360.000,363635,30302
0075,Carros & Cia EIRELI,Automotivo,01/07/2022,101-500,Até R$360.000,231056,19254
0076,Hotelaria Conforto Total ME,Turismo,16/07/2024,101-500,R$360.000 - R$4.800.000,300792,25066
0077,Mercado Bom Gosto ME,Alimentos e Bebidas,13/07/2021,101-500,Até R$360.000,172045,14337
0078,Distribuidora Caminho Certo EIRELI,Logística e Transporte,17/03/2025,101-500,Até R$360.000,393237,32769
0079,Construtora Solidez EIRELI,Construção Civil,26/11/2022,101-500,Até R$360.000,119852,9987
0080,DataLink TI EIRELI,Tecnologia,12/11/2023,101-500,Até R$360.000,325027,27085
0081,Farmácia Confiança ME,Saúde,22/04/2023,101-500,Até R$360.000,203845,16987
0082,LogisService ME,Logística e Transporte,27/03/2021,101-500,Até R$360.000,13784,1148
0083,CrediSimples LTDA,Financeiro,21/11/2024,101-500,Até R$360.000,213126,17760
0084,Supermercado Econômico SA,Alimentos e Bebidas,18/10/2023,101-500,Até R$360.000,19628,1635
0085,Fashion Prime LTDA,Moda e Vestuário,04/03/2023,101-500,R$360.000 - R$4.800.000,110307,9192
0086,Construtora Solidez EIRELI,Construção Civil,22/10/2022,1-5,R$360.000 - R$4.800.000,286459,23871
0087,Cargas & Fretes Seguros SA,Logística e Transporte,16/04/2022,101-500,Até R$360.000,112157,9346
0088,Revenda AutoTop ME,Automotivo,29/02/2024,101-500,Até R$360.000,497231,41435
0089,Hospital Saúde Total ME,Saúde,17/07/2021,101-500,Até R$360.000,75201,6266
0090,Distribuidora Caminho Certo SA,Logística e Transporte,06/11/2024,101-500,Até R$360.000,58224,4852
0091,Bistrô Sabores da Casa SA,Alimentos e Bebidas,19/03/2022,11-100,R$360.000 - R$4.800.000,69836,5819
0092,Carros & Cia LTDA,Automotivo,03/04/2022,101-500,R$360.000 - R$4.800.000,126845,10570
0093,Instituto Conhecer LTDA,Educação,11/12/2023,101-500,Até R$360.000,272539,22711
0094,AutoMecânica Rápida SA,Automotivo,07/10/2020,101-500,Até R$360.000,147855,12321
0095,Edifica Fácil SA,Construção Civil,26/03/2023,11-100,Até R$360.000,114645,9553
0096,InvestFácil SA,Financeiro,12/03/2021,101-500,R$360.000 - R$4.800.000,21514,1792
0097,Capital Inteligente EIRELI,Financeiro,14/02/2024,101-500,Até R$360.000,4758,396
0098,Ateliê Elegância SA,Moda e Vestuário,03/11/2021,101-500,Até R$360.000,452974,37747
0099,Turismo Fácil SA,Turismo,11/08/2024,101-500,Até R$360.000,142863,11905
0100,Innovatech EIRELI,Tecnologia,19/06/2023,101-500,Até R$360.000,444665,37055
